"keys","de","en_GB","en_IN","en_US","es_ES","es_LA","fr","it","ja","ko","pt_BR","pt_PT","ru","zh_Hans","zh_Hant"
"COACH_MARK_INVENTORY_MESSAGE","Drücken Sie E oder Select, um Ihr Inventar zu öffnen.","Press E or Select to open your inventory.","Press E or Select to open your inventory.","Press E or Select to open your inventory.","Pulsa E o Select para abrir tu inventario.","Presiona E o Select para abrir tu inventario.","Appuyez sur E ou Select pour ouvrir votre inventaire.","Premi E o Select per aprire il tuo inventario.","EまたはSelectを押してインベントリを開きます。","E 또는 Select를 눌러 인벤토리를 엽니다.","Pressione E ou Select para abrir seu inventário.","Prima E ou Select para abrir o seu inventário.","Нажмите E или Select, чтобы открыть свой инвентарь.","按 E 或 Select 打开你的库存。","按 E 或 Select 打開你的庫存。"
"COACH_MARK_INVENTORY_TITLE","Inventar","Inventory","Inventory","Inventory","Inventario","Inventario","Inventaire","Inventario","インベントリ","인벤토리","Inventário","Inventário","Инвентарь","库存","庫存"
"COACH_MARK_MOVEMENT_MESSAGE","Verwenden Sie WASD oder den linken Analogstick zur Bewegung.","Use WASD or the Left Analog Stick to move.","Use WASD or the Left Analog Stick to move.","Use WASD or the Left Analog Stick to move.","Usa WASD o el Stick Analógico Izquierdo para moverte.","Usa WASD o el Stick Analógico Izquierdo para moverte.","Utilisez WASD ou le Stick Analogique Gauche pour vous déplacer.","Usa WASD o lo Stick Analogico Sinistro per muoverti.","WASDまたは左アナログスティックで移動します。","WASD 또는 왼쪽 아날로그 스틱을 사용하여 이동합니다.","Use WASD ou o Analógico Esquerdo para se mover.","Use WASD ou o Analógico Esquerdo para se mover.","Используйте WASD или левый аналоговый стик для перемещения.","使用 WASD 或左摇杆移动。","使用 WASD 或左搖桿移動。"
"COACH_MARK_MOVEMENT_TITLE","Bewegung","Movement","Movement","Movement","Movimiento","Movimiento","Mouvement","Movimento","移動","이동","Movimento","Movimento","Движение","移动","移動"
"COACH_MARK_NEXT_BUTTON","Weiter","Next","Next","Next","Siguiente","Siguiente","Suivant","Avanti","次へ","다음","Próximo","Próximo","Далее","下一步","下一步"
"COACH_MARK_PAUSE_MESSAGE","Drücken Sie ESC oder Start, um das Spiel zu pausieren und auf die Menüs zuzugreifen.","Press ESC or Start to pause the game and access menus.","Press ESC or Start to pause the game and access menus.","Press ESC or Start to pause the game and access menus.","Pulsa ESC o Start para pausar el juego y acceder a los menús.","Presiona ESC o Start para pausar el juego y acceder a los menús.","Appuyez sur ESC ou Start pour mettre le jeu en pause et accéder aux menus.","Premi ESC o Start per mettere in pausa il gioco e accedere ai menu.","ESCまたはStartを押してゲームを一時停止し、メニューにアクセスします。","ESC 또는 Start를 눌러 게임을 일시정지하고 메뉴에 액세스합니다.","Pressione ESC ou Start para pausar o jogo e acessar os menus.","Prima ESC ou Start para pausar o jogo e aceder aos menus.","Нажмите ESC или Start, чтобы приостановить игру и получить доступ к меню.","按 ESC 或 Start 暂停游戏并访问菜单。","按 ESC 或 Start 暫停遊戲並訪問選單。"
"COACH_MARK_PAUSE_TITLE","Spiel pausieren","Pause Game","Pause Game","Pause Game","Pausar Juego","Pausar Juego","Mettre le Jeu en Pause","Metti in Pausa il Gioco","ゲームを一時停止","게임 일시정지","Pausar Jogo","Pausar Jogo","Приостановить игру","暂停游戏","暫停遊戲"
"COACH_MARK_SKIP_BUTTON","Tutorial überspringen","Skip Tutorial","Skip Tutorial","Skip Tutorial","Saltar Tutorial","Saltar Tutorial","Passer le Tutoriel","Salta Tutorial","チュートリアルをスキップ","튜토리얼 건너뛰기","Pular Tutorial","Saltar Tutorial","Пропустить обучение","跳过教程","跳過教學"
"COACH_MARK_WELCOME_MESSAGE","Willkommen im Spiel! Lassen Sie uns die Grundlagen lernen.","Welcome to the game! Let's learn the basics.","Welcome to the game! Let's learn the basics.","Welcome to the game! Let's learn the basics.","¡Bienvenido al juego! Vamos a aprender lo básico.","¡Bienvenido al juego! Vamos a aprender lo básico.","Bienvenue dans le jeu ! Apprenons les bases.","Benvenuto nel gioco! Impariamo le basi.","ゲームへようこそ！基本を学びましょう。","게임에 오신 것을 환영합니다! 기본을 배워봅시다.","Bem-vindo ao jogo! Vamos aprender o básico.","Bem-vindo ao jogo! Vamos aprender o básico.","Добро пожаловать в игру! Давайте изучим основы.","欢迎来到游戏！让我们学习基础知识。","歡迎來到遊戲！讓我們學習基礎知識。"
"COACH_MARK_WELCOME_TITLE","Willkommen!","Welcome!","Welcome!","Welcome!","¡Bienvenido!","¡Bienvenido!","Bienvenue !","Benvenuto!","ようこそ！","환영합니다!","Bem-vindo!","Bem-vindo!","Добро пожаловать!","欢迎！","歡迎！"
"DEBUG_CONSOLE_READY","Debug-Konsole bereit. Drücken Sie 'P' zum Umschalten.","Debug Console ready. Press 'P' to toggle.","Debug Console ready. Press 'P' to toggle.","Debug Console ready. Press 'P' to toggle.","Consola de Depuración lista. Pulsa 'P' para alternar.","Consola de Depuración lista. Presiona 'P' para alternar.","Console de débogage prête. Appuyez sur 'P' pour basculer.","Console di Debug pronta. Premi 'P' per attivare/disattivare.","デバッグコンソール準備完了。'P'を押して切り替えます。","디버그 콘솔 준비 완료. 'P'를 눌러 전환합니다.","Console de Depuração pronto. Pressione 'P' para alternar.","Consola de Depuração pronta. Prima 'P' para alternar.","Консоль отладки готова. Нажмите 'P' для переключения.","调试控制台已就绪。按 'P' 切换。","偵錯控制台已就緒。按 'P' 鍵切換。"
"DEBUG_CORES","  Kerne: {cores}","  Cores: {cores}","  Cores: {cores}","  Cores: {cores}","  Núcleos: {cores}","  Núcleos: {cores}","  Cœurs: {cores}","  Core: {cores}","  コア: {cores}","  코어: {cores}","  Núcleos: {cores}","  Núcleos: {cores}","  Ядра: {cores}","  核心: {cores}","  核心: {cores}"
"DEBUG_CURRENT_SCENE","  Aktuelle Szene: {scene}","  Current Scene: {scene}","  Current Scene: {scene}","  Current Scene: {scene}","  Escena Actual: {scene}","  Escena Actual: {scene}","  Scène Actuelle: {scene}","  Scena Attuale: {scene}","  現在のシーン: {scene}","  현재 장면: {scene}","  Cena Atual: {scene}","  Cena Atual: {scene}","  Текущая сцена: {scene}","  当前场景: {scene}","  目前場景: {scene}"
"DEBUG_DISPLAY_SECTION","[b]Anzeige[/b]","[b]Display[/b]","[b]Display[/b]","[b]Display[/b]","[b]Pantalla[/b]","[b]Pantalla[/b]","[b]Affichage[/b]","[b]Display[/b]","[b]ディスプレイ[/b]","[b]디스플레이[/b]","[b]Display[/b]","[b]Ecrã[/b]","[b]Дисплей[/b]","[b]显示[/b]","[b]顯示[/b]"
"DEBUG_GAME_SECTION","[b]Spiel[/b]","[b]Game[/b]","[b]Game[/b]","[b]Game[/b]","[b]Juego[/b]","[b]Juego[/b]","[b]Jeu[/b]","[b]Gioco[/b]","[b]ゲーム[/b]","[b]게임[/b]","[b]Jogo[/b]","[b]Jogo[/b]","[b]Игра[/b]","[b]游戏[/b]","[b]遊戲[/b]"
